source_layer,source_file,source_name,source_node_index,source_mesh,system,is_guide,dimensions_m,bounds_min_m,bounds_max_m,vertex_count,face_count
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Frame mount bolt.004,15,Frame mount bolt.004,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[0.3110288493335247, 0.5949999839067459, 0.690000019967556]","[0.38897113874554634, 0.6849999874830246, 0.7700000181794167]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Frame mount bolt.005,16,Frame mount bolt.005,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[0.3110288493335247, 0.5949999839067459, -0.7700000181794167]","[0.38897113874554634, 0.6849999874830246, -0.690000019967556]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Frame mount bolt.006,17,Frame mount bolt.006,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[1.5110288076102734, 0.5949999839067459, 0.690000019967556]","[1.588971097022295, 0.6849999874830246, 0.7700000181794167]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Frame mount bolt.007,18,Frame mount bolt.007,drivetrain,False,"[0.07794228941202164, 0.09000000357627869, 0.07999999821186066]","[1.5110288076102734, 0.5949999839067459, -0.7700000181794167]","[1.588971097022295, 0.6849999874830246, -0.690000019967556]",36,20
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Front differential,10,Front differential,drivetrain,False,"[0.4000000059604645, 0.3199999928474426, 0.9599999785423279]","[0.8199999779462814, 0.46000000834465027, -0.47999998927116394]","[1.219999983906746, 0.7800000011920929, 0.47999998927116394]",24,12
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Front propeller shaft,8,Front propeller shaft,drivetrain,False,"[1.470326006412506, 0.47893524169921875, 0.1300000250339508]","[-0.6423644423484802, 0.5586961507797241, -0.0650000125169754]","[0.8279615640640259, 1.0376313924789429, 0.0650000125169754]",275,480
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Intake manifold,6,Intake manifold,drivetrain,False,"[0.8999999761581421, 0.25999999046325684, 0.47999998927116394]","[0.5699999928474426, 1.7899999618530273, -0.23999999463558197]","[1.4699999690055847, 2.049999952316284, 0.23999999463558197]",24,12
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Label_4.0L V6 engine,29,Label_4.0L V6 engine,drivetrain,True,"[0.6562703847885132, 0.10349476287039727, 0.042985806266995996]","[0.720694899559021, 1.7227009603936367, 0.9206366674239347]","[1.3769652843475342, 1.826195723264034, 0.9636224736909307]",13025,21888
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Label_Front differential,30,Label_Front differential,drivetrain,True,"[0.7354799807071686, 0.07712986387773979, 0.03151468025241311]","[0.6528649926185608, 0.8771298513577399, 0.9926445606963881]","[1.3883449733257294, 0.9542597152354797, 1.0241592409488012]",16046,26920
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Label_Front propeller shaft,31,Label_Front propeller shaft,drivetrain,True,"[0.9220398962497711, 0.10024850184474743, 0.03902671818889236]","[-0.3368949666619301, 0.7940112110065465, 0.9926445606963881]","[0.585144929587841, 0.8942597128512939, 1.0316712788852804]",18904,31800
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Lower radiator hose,5,Lower radiator hose,drivetrain,False,"[0.7898150682449341, 0.16483676433563232, 0.15953877940773964]","[1.169251799583435, 1.0571397542953491, -0.1649441123008728]","[1.9590668678283691, 1.2219765186309814, -0.0054053328931331635]",275,480
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Propeller shaft,7,Propeller shaft,drivetrain,False,"[1.4038675129413605, 0.38052040338516235, 0.15000003576278687]","[-1.7889854907989502, 0.6492390036582947, -0.07500001788139343]","[-0.3851179778575897, 1.029759407043457, 0.07500001788139343]",275,480
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Radiator,3,Radiator,drivetrain,False,"[0.14000000059604645, 0.8399999737739563, 1.2999999523162842]","[1.8800000473856926, 1.0500000417232513, -0.6499999761581421]","[2.020000047981739, 1.8900000154972076, 0.6499999761581421]",24,12
engine,/home/ubuntu/ford-glb-layer-test/parts_list.csv,Upper radiator hose,4,Upper radiator hose,drivetrain,False,"[0.8002508878707886, 0.253318190574646, 0.15953216701745987]","[1.1671650409698486, 1.7105255126953125, 0.005405344069004059]","[1.9674159288406372, 1.9638437032699585, 0.16493751108646393]",275,480
