source_layer,source_file,source_name,source_node_index,source_mesh,system,is_guide,dimensions_m,bounds_min_m,bounds_max_m,vertex_count,face_count
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front seat.001,49,Front seat.001,body,False,"[0.7200000286102295, 0.4399999976158142, 0.6000000238418579]","[-0.3100000135600567, 1.079999953508377, -0.7000000178813934]","[0.4100000150501728, 1.5199999511241913, -0.09999999403953552]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front side window,65,Front side window,body,False,"[0.7799999713897705, 0.6200000047683716, 0.05000000074505806]","[0.09000000357627869, 1.7099999785423279, 0.8300000187009573]","[0.8699999749660492, 2.3299999833106995, 0.8800000194460154]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front side window.001,70,Front side window.001,body,False,"[0.7799999713897705, 0.6200000047683716, 0.05000000074505806]","[0.09000000357627869, 1.7099999785423279, -0.8800000194460154]","[0.8699999749660492, 2.3299999833106995, -0.8300000187009573]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front stabilizer bar,20,Front stabilizer bar,body,False,"[0.7274680137634277, 0.12757626175880432, 0.3866874873638153]","[0.8429826498031616, 0.46539321541786194, 0.36171624064445496]","[1.5704506635665894, 0.5929694771766663, 0.7484037280082703]",275,480
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Front stabilizer bar.001,21,Front stabilizer bar.001,body,False,"[0.7274680137634277, 0.12757626175880432, 0.3866874873638153]","[0.8429826498031616, 0.46539321541786194, -0.7484037280082703]","[1.5704506635665894, 0.5929694771766663, -0.36171624064445496]",275,480
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Headlight housing,92,Headlight housing,body,False,"[0.07000000029802322, 0.3199999928474426, 0.47999998927116394]","[2.4749999903142452, 1.5199999511241913, 0.2799999862909317]","[2.5449999906122684, 1.839999943971634, 0.7599999755620956]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Headlight housing.001,95,Headlight housing.001,body,False,"[0.07000000029802322, 0.3199999928474426, 0.47999998927116394]","[2.4749999903142452, 1.5199999511241913, -0.7599999755620956]","[2.5449999906122684, 1.839999943971634, -0.2799999862909317]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Instrument panel,46,Instrument panel,body,False,"[0.36000001430511475, 0.3199999928474426, 1.440000057220459]","[0.699999988079071, 1.820000022649765, -0.7200000286102295]","[1.0600000023841858, 2.1400000154972076, 0.7200000286102295]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Label_2 m reference,143,Label_2 m reference,body,True,"[0.5696803629398346, 0.07308651730390311, 0.0332524069244684]","[-0.2847500443458557, 0.1959067787921094, 1.6928300906694078]","[0.2849303185939789, 0.2689932960960125, 1.7260824975938762]",13024,21980
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Label_2004 FORD EXPLORER SPORT TRAC,140,Label_2004 FORD EXPLORER SPORT TRAC,body,True,"[3.8440001010894775, 0.1662641615063456, 0.06352482989676855]","[-1.923319935798645, 3.094702288259216, 1.4929475926539977]","[1.9206801652908325, 3.2609664497655615, 1.5564724225507662]",21764,36416
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Label_Frame rail,141,Label_Frame rail,body,True,"[0.43740008771419525, 0.07876376887174696, 0.03509702375487089]","[-0.21809504926204681, 0.5458205777315518, 0.9210133097606064]","[0.21930503845214844, 0.6245843466032988, 0.9561103335154773]",10376,17492
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Long hood,56,Long hood,body,False,"[1.7281100196624273, 0.28974375474586833, 1.659999966621399]","[0.6059450187790159, 1.835128141700552, -0.8299999833106995]","[2.334055038441443, 2.1248718964464204, 0.8299999833106995]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Lower dark bumper,58,Lower dark bumper,body,False,"[0.23999999463558197, 0.3199999928474426, 1.7599999904632568]","[2.3400000408291817, 0.7100000083446503, -0.8799999952316284]","[2.5800000354647636, 1.030000001192093, 0.8799999952316284]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Lower rocker and body shell,51,Lower rocker and body shell,body,False,"[4.960000038146973, 0.6800000071525574, 1.7599999904632568]","[-2.4800000190734863, 0.6599999964237213, -0.8799999952316284]","[2.4800000190734863, 1.3400000035762787, 0.8799999952316284]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Muffler,11,Muffler,body,False,"[0.5199999809265137, 0.2800000011920929, 0.2800000011920929]","[-1.4399999380111694, 0.2799999862909317, 0.20000000298023224]","[-0.9199999570846558, 0.5599999874830246, 0.48000000417232513]",192,124
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Pickup bed side structure,53,Pickup bed side structure,body,False,"[1.7200000286102295, 0.9800000190734863, 1.7200000286102295]","[-2.409999966621399, 0.8500000238418579, -0.8600000143051147]","[-0.6899999380111694, 1.8300000429153442, 0.8600000143051147]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Rear dark bumper,59,Rear dark bumper,body,False,"[0.23999999463558197, 0.30000001192092896, 1.7599999904632568]","[-2.5900000259280205, 0.7700000107288361, -0.8799999952316284]","[-2.3500000312924385, 1.070000022649765, 0.8799999952316284]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Rear side window,66,Rear side window,body,False,"[0.800000011920929, 0.6200000047683716, 0.05000000074505806]","[-0.7100000083446503, 1.7099999785423279, 0.8300000187009573]","[0.09000000357627869, 2.3299999833106995, 0.8800000194460154]",24,12
body,/home/ubuntu/ford-glb-body-test/parts_list.csv,Rear side window.001,71,Rear side window.001,body,False,"[0.800000011920929, 0.6200000047683716, 0.05000000074505806]","[-0.7100000083446503, 1.7099999785423279, -0.8800000194460154]","[0.09000000357627869, 2.3299999833106995, -0.8300000187009573]",24,12
