source_name,source_node_index,source_mesh,system,is_guide,dimensions_m,bounds_min_m,bounds_max_m,vertex_count,face_count
Front seat back,105,Cube.050,body,False,"[0.20000000298023224, 0.6800000071525574, 0.6000000238418579]","[-0.020000003278255463, 1.3099999725818634, 0.09999999403953552]","[0.17999999970197678, 1.9899999797344208, 0.7000000178813934]",24,12
Front seat back.001,103,Cube.052,body,False,"[0.20000000298023224, 0.6800000071525574, 0.6000000238418579]","[-0.020000003278255463, 1.3099999725818634, -0.7000000178813934]","[0.17999999970197678, 1.9899999797344208, -0.09999999403953552]",24,12
Front seat.001,104,Cube.051,body,False,"[0.7200000286102295, 0.4399999976158142, 0.6000000238418579]","[-0.3100000135600567, 1.079999953508377, -0.7000000178813934]","[0.4100000150501728, 1.5199999511241913, -0.09999999403953552]",24,12
Front side window,87,Cube.075,body,False,"[0.7799999713897705, 0.6200000047683716, 0.05000000074505806]","[0.09000000357627869, 1.7099999785423279, 0.8300000187009573]","[0.8699999749660492, 2.3299999833106995, 0.8800000194460154]",24,12
Front side window.001,82,Cube.080,body,False,"[0.7799999713897705, 0.6200000047683716, 0.05000000074505806]","[0.09000000357627869, 1.7099999785423279, -0.8800000194460154]","[0.8699999749660492, 2.3299999833106995, -0.8300000187009573]",24,12
Front stabilizer bar,164,Front stabilizer bar,body,False,"[0.7274680137634277, 0.12757626175880432, 0.3866874873638153]","[0.8429826498031616, 0.46539321541786194, 0.36171624064445496]","[1.5704506635665894, 0.5929694771766663, 0.7484037280082703]",275,480
Front stabilizer bar.001,163,Front stabilizer bar.001,body,False,"[0.7274680137634277, 0.12757626175880432, 0.3866874873638153]","[0.8429826498031616, 0.46539321541786194, -0.7484037280082703]","[1.5704506635665894, 0.5929694771766663, -0.36171624064445496]",275,480
Headlight housing,60,Cube.102,body,False,"[0.07000000029802322, 0.3199999928474426, 0.47999998927116394]","[2.4749999903142452, 1.5199999511241913, 0.2799999862909317]","[2.5449999906122684, 1.839999943971634, 0.7599999755620956]",24,12
Headlight housing.001,57,Cube.104,body,False,"[0.07000000029802322, 0.3199999928474426, 0.47999998927116394]","[2.4749999903142452, 1.5199999511241913, -0.7599999755620956]","[2.5449999906122684, 1.839999943971634, -0.2799999862909317]",24,12
Instrument panel,107,Cube.048,body,False,"[0.36000001430511475, 0.3199999928474426, 1.440000057220459]","[0.699999988079071, 1.820000022649765, -0.7200000286102295]","[1.0600000023841858, 2.1400000154972076, 0.7200000286102295]",24,12
Label_2 m reference,4,Label_2 m reference,body,True,"[0.5696803629398346, 0.07308651730390311, 0.0332524069244684]","[-0.2847500443458557, 0.1959067787921094, 1.6928300906694078]","[0.2849303185939789, 0.2689932960960125, 1.7260824975938762]",13024,21980
Label_2004 FORD EXPLORER SPORT TRAC,12,Label_2004 FORD EXPLORER SPORT TRAC,body,True,"[3.8440001010894775, 0.1662641615063456, 0.06352482989676855]","[-1.923319935798645, 3.094702288259216, 1.4929475926539977]","[1.9206801652908325, 3.2609664497655615, 1.5564724225507662]",21764,36416
Label_Frame rail,6,Label_Frame rail,body,True,"[0.43740008771419525, 0.07876376887174696, 0.03509702375487089]","[-0.21809504926204681, 0.5458205777315518, 0.9210133097606064]","[0.21930503845214844, 0.6245843466032988, 0.9561103335154773]",10376,17492
Long hood,96,Cube.070,body,False,"[1.7281100196624273, 0.28974375474586833, 1.659999966621399]","[0.6059450187790159, 1.835128141700552, -0.8299999833106995]","[2.334055038441443, 2.1248718964464204, 0.8299999833106995]",24,12
Lower dark bumper,94,Cube.072,body,False,"[0.23999999463558197, 0.3199999928474426, 1.7599999904632568]","[2.3400000408291817, 0.7100000083446503, -0.8799999952316284]","[2.5800000354647636, 1.030000001192093, 0.8799999952316284]",24,12
Lower rocker and body shell,101,Cube.065,body,False,"[4.960000038146973, 0.6800000071525574, 1.7599999904632568]","[-2.4800000190734863, 0.6599999964237213, -0.8799999952316284]","[2.4800000190734863, 1.3400000035762787, 0.8799999952316284]",24,12
Muffler,193,Cylinder.046,body,False,"[0.5199999809265137, 0.2800000011920929, 0.2800000011920929]","[-1.4399999380111694, 0.2799999862909317, 0.20000000298023224]","[-0.9199999570846558, 0.5599999874830246, 0.48000000417232513]",192,124
Pickup bed side structure,99,Cube.067,body,False,"[1.7200000286102295, 0.9800000190734863, 1.7200000286102295]","[-2.409999966621399, 0.8500000238418579, -0.8600000143051147]","[-0.6899999380111694, 1.8300000429153442, 0.8600000143051147]",24,12
Rear dark bumper,93,Cube.073,body,False,"[0.23999999463558197, 0.30000001192092896, 1.7599999904632568]","[-2.5900000259280205, 0.7700000107288361, -0.8799999952316284]","[-2.3500000312924385, 1.070000022649765, 0.8799999952316284]",24,12
Rear side window,86,Cube.076,body,False,"[0.800000011920929, 0.6200000047683716, 0.05000000074505806]","[-0.7100000083446503, 1.7099999785423279, 0.8300000187009573]","[0.09000000357627869, 2.3299999833106995, 0.8800000194460154]",24,12
Rear side window.001,81,Cube.081,body,False,"[0.800000011920929, 0.6200000047683716, 0.05000000074505806]","[-0.7100000083446503, 1.7099999785423279, -0.8800000194460154]","[0.09000000357627869, 2.3299999833106995, -0.8300000187009573]",24,12
Roof rail,65,Cube.097,body,False,"[2.4000000953674316, 0.09000000357627869, 0.07000000029802322]","[-1.2000000476837158, 2.5149999409914017, 0.58500000461936]","[1.2000000476837158, 2.6049999445676804, 0.6550000049173832]",24,12
Roof rail.001,63,Cube.099,body,False,"[2.4000000953674316, 0.09000000357627869, 0.07000000029802322]","[-1.2000000476837158, 2.5149999409914017, -0.6550000049173832]","[1.2000000476837158, 2.6049999445676804, -0.58500000461936]",24,12
Round fog lamp,58,Cylinder.068,body,False,"[0.03500000014901161, 0.1899999976158142, 0.1899999976158142]","[2.5175000857561827, 0.9249999821186066, 0.24819999933242798]","[2.5525000859051943, 1.1149999797344208, 0.4381999969482422]",288,188
Round fog lamp.001,55,Cylinder.069,body,False,"[0.03500000014901161, 0.1899999976158142, 0.1899999976158142]","[2.5175000857561827, 0.9249999821186066, -0.4381999969482422]","[2.5525000859051943, 1.1149999797344208, -0.24819999933242798]",288,188
Rounded wheel arch fender,89,Sphere.003,body,False,"[0.9600006639957428, 1.059999942779541, 0.20000021904706955]","[1.0799994468688965, 0.33000004291534424, -0.9400001093745232]","[2.0400001108646393, 1.3899999856948853, -0.7399998903274536]",4512,2208
Rounded wheel arch fender.001,92,Sphere,body,False,"[0.9600006639957428, 1.059999942779541, 0.20000021904706955]","[-2.100000500679016, 0.33000004291534424, 0.7399998381733894]","[-1.1399998366832733, 1.3899999856948853, 0.940000057220459]",4512,2208
Rounded wheel arch fender.002,91,Sphere.001,body,False,"[0.9600006639957428, 1.059999942779541, 0.20000021904706955]","[-2.100000500679016, 0.33000004291534424, -0.9400001093745232]","[-1.1399998366832733, 1.3899999856948853, -0.7399998903274536]",4512,2208
Rounded wheel arch fender.003,90,Sphere.002,body,False,"[0.9600006639957428, 1.059999942779541, 0.20000021904706955]","[1.0799994468688965, 0.33000004291534424, 0.7399998381733894]","[2.0400001108646393, 1.3899999856948853, 0.940000057220459]",4512,2208
Scale bar,5,Cube.061,body,True,"[2.0, 0.035999998450279236, 0.035999998450279236]","[-1.0, 0.12200000137090683, 1.7020000293850899]","[1.0, 0.15799999982118607, 1.738000027835369]",24,12
Side mirror,52,Sphere.005,body,False,"[0.26000016927719116, 0.20000000298023224, 0.1400001496076584]","[0.7499998658895493, 1.7600000128149986, -1.0500001087784767]","[1.0100000351667404, 1.9600000157952309, -0.9099999591708183]",4512,2208
Side mirror.001,53,Sphere.004,body,False,"[0.26000016927719116, 0.20000000298023224, 0.1400001496076584]","[0.7499998658895493, 1.7600000128149986, 0.9099999293684959]","[1.0100000351667404, 1.9600000157952309, 1.0500000789761543]",4512,2208
Six spoke alloy wheel,47,Cylinder.070,body,False,"[0.5600000023841858, 0.5600000023841858, 0.14000000059604645]","[-1.9000000059604645, 0.45000001788139343, 0.8500000163912773]","[-1.3400000035762787, 1.0100000202655792, 0.9900000169873238]",288,188
Six spoke alloy wheel.001,38,Cylinder.072,body,False,"[0.5600000023841858, 0.5600000023841858, 0.14000000059604645]","[-1.9000000059604645, 0.45000001788139343, -0.9900000169873238]","[-1.3400000035762787, 1.0100000202655792, -0.8500000163912773]",288,188
Six spoke alloy wheel.002,29,Cylinder.074,body,False,"[0.5600000023841858, 0.5600000023841858, 0.14000000059604645]","[1.2799999415874481, 0.45000001788139343, 0.8500000163912773]","[1.839999943971634, 1.0100000202655792, 0.9900000169873238]",288,188
Six spoke alloy wheel.003,20,Cylinder.076,body,False,"[0.5600000023841858, 0.5600000023841858, 0.14000000059604645]","[1.2799999415874481, 0.45000001788139343, -0.9900000169873238]","[1.839999943971634, 1.0100000202655792, -0.8500000163912773]",288,188
Sport Trac door skin,77,Cube.085,body,False,"[0.7599999904632568, 0.8600000143051147, 0.07000000029802322]","[0.09999999403953552, 0.9100000262260437, 0.8449999950826168]","[0.8599999845027924, 1.7700000405311584, 0.91499999538064]",24,12
Sport Trac door skin.001,74,Cube.088,body,False,"[0.7599999904632568, 0.8600000143051147, 0.07000000029802322]","[0.09999999403953552, 0.9100000262260437, -0.91499999538064]","[0.8599999845027924, 1.7700000405311584, -0.8449999950826168]",24,12
